# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 1
# model = covid19_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = covid19_model.data.R
# init = covid19_model.init.R
# random
#   seed = -1 (Default)
# output
#   file = sampling.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma,alpha0,beta,I0
# Adaptation terminated
# Step size = 0.215957
# Diagonal elements of inverse mass matrix:
# 0.0706014, 0.00454586, 0.0470025, 0.0148182
-229.786,0.977955,0.215957,2,7,0,230.039,0.139791,0.269319,0.0042012,346.942
-230.449,0.995454,0.215957,4,15,0,231.102,0.130624,0.284019,0.00499461,371.854
-234.152,0.283645,0.215957,3,7,0,236.131,0.125263,0.298523,0.00428098,374.932
-230.535,0.637309,0.215957,2,3,0,237.353,0.122386,0.296567,0.00502735,363.016
-230.974,0.9088,0.215957,4,31,0,232.569,0.123982,0.260452,0.00355991,367.759
-229.674,0.989728,0.215957,4,15,0,231.566,0.144499,0.275512,0.00444449,327.909
-229.985,0.772033,0.215957,2,3,0,231.249,0.153715,0.275841,0.00395981,343.324
-230.335,0.99103,0.215957,3,15,0,231.177,0.140013,0.263895,0.00383351,323.476
-232.428,0.981648,0.215957,3,7,0,234.48,0.195888,0.268204,0.00469746,378.578
-229.199,0.998551,0.215957,3,15,0,233.378,0.140448,0.270196,0.00349474,313.625
-230.495,0.949145,0.215957,4,15,0,230.728,0.125547,0.28871,0.00488112,344.646
-229.9,0.86788,0.215957,4,15,0,231.713,0.128073,0.267406,0.00362532,323.777
-229.659,0.881095,0.215957,3,11,0,231.451,0.139124,0.265258,0.00319922,329.588
