alter,m,w,total
0,402082,381896,783978
1,408361,388013,796374
2,410978,391673,802651
3,398943,377820,776763
4,393733,372898,766631
5,380099,359630,739729
6,378881,357868,736749
7,370192,350421,720613
8,379116,359122,738238
9,373887,353022,726909
10,383341,363004,746345
11,381581,359949,741530
12,374579,352344,726923
13,378368,357392,735760
14,386561,365061,751622
15,387438,364913,752351
16,395934,370583,766517
17,408869,378876,787745
18,435928,399834,835762
19,454530,406572,861102
20,467967,423692,891659
21,491057,443461,934518
22,487046,442477,929523
23,480366,436558,916924
24,488576,446072,934648
25,503960,463132,967092
26,511892,473472,985364
27,530016,491903,1021919
28,579978,536481,1116459
29,570090,532411,1102501
30,584198,543391,1127589
31,570259,533376,1103635
32,556951,526706,1083657
33,538944,511849,1050793
34,533729,509626,1043355
35,532794,512390,1045184
36,542053,523622,1065675
37,534163,522353,1056516
38,535440,525329,1060769
39,508867,500405,1009272
40,501847,493223,995070
41,497409,488232,985641
42,486195,480318,966513
43,474698,466735,941433
44,478809,474272,953081
45,481345,478323,959668
46,522398,515871,1038269
47,574308,565711,1140019
48,594783,585955,1180738
49,639383,626442,1265825
50,668504,655193,1323697
51,684228,671992,1356220
52,701292,688474,1389766
53,703108,688686,1391794
54,713090,701381,1414471
55,703977,695389,1399366
56,677539,674050,1351589
57,662644,665293,1327937
58,637082,642613,1279695
59,616432,623199,1239631
60,578689,587953,1166642
61,560949,574142,1135091
62,540345,558648,1098993
63,516948,542697,1059645
64,498794,534749,1033543
65,476419,517881,994300
66,471077,515496,986573
67,457083,503090,960173
68,452873,500441,953314
69,434182,479955,914137
70,392831,434360,827191
71,362555,407525,770080
72,309855,352989,662844
73,265056,310937,575993
74,349589,410848,760437
75,348468,413063,761531
76,329782,396284,726066
77,386471,478586,865057
78,390499,497105,887604
79,368391,480735,849126
80,326093,435137,761230
81,285975,393435,679410
82,256856,365701,622557
83,227215,336350,563565
84,190985,293850,484835
85,737893,1539616,2277509
